Custom Language|Українська
CustomerReview/Alright pricing, singles could be cheaper.|Ціни нормальні, але окремі картки могли б бути дешевшими.
CustomerReview/Amazing experience, got everything I wanted|Чудово сходив — знайшов усе, що хотів.
CustomerReview/Argh the singles are staring at me but I ain't got no money to buy them.|Ех, ці окремі картки так і манять, а грошей на них немає.
CustomerReview/BEST SHOP XXX|НАЙКРАЩИЙ МАГАЗИН XXX
CustomerReview/Bad experience|Погані враження.
CustomerReview/Been looking for YYY in the last 3 shops but can't find 'em, thrilled to find it here!|Шукав YYY у трьох магазинах поспіль і ніде не знайшов. Нарешті він є тут!
CustomerReview/Buying cards here feels like a scam|Купувати картки тут — наче добровільно давати себе обдурити.
CustomerReview/Came here looking for Ghost foil. Sell it for $100 pls!!!|Прийшов сюди за фойловою карткою «Привид». Продайте її за $100, будь ласка!!!
CustomerReview/Can I lodge a complaint for those exorbitant card prices?|Куди тут скаржитися на ці захмарні ціни на картки?
CustomerReview/Can't even get YYY for me? 1 star!|Навіть YYY немає? Одна зірка!
CustomerReview/Can't get in the store...|Не можу зайти в магазин...
CustomerReview/Card price is EXPENSIVE!|Картки тут ДУЖЕ ДОРОГІ!
CustomerReview/Card shop with ridiculous card pricing.|Магазин карток із просто абсурдними цінами.
CustomerReview/Card shop with ridiculous fee.|Магазин карток із абсурдною платою за гру.
CustomerReview/Card shop with ridiculous product pricing.|Магазин карток із абсурдними цінами на товари.
CustomerReview/Comfortable, cozy. I love to play here.|Зручно й затишно. Люблю тут грати.
CustomerReview/Could've give me proper change, got a bag of coins instead...|Могли б дати нормальну решту, а не цілий мішок монет...
CustomerReview/Did they ran out of money or something? I was handed a bunch of coins!|У них що, купюри закінчилися? Видали мені цілу купу монет!
CustomerReview/Did they think they are the ONLY shop in town that sells cards??? With that price I hope noone buys them!|Вони що, думають, що ЄДИНІ в місті продають картки??? За такими цінами сподіваюся, ніхто в них нічого не купить!
CustomerReview/Do you sell YYY?|Чи продаєте ви YYY?
CustomerReview/Don't buy from XXX, way overpriced!|Не купуйте в XXX — ціни страшенно завищені!
CustomerReview/Don't feel like coming back|Повертатися сюди не хочеться.
CustomerReview/Don't overwork the staff please...|Будь ласка, не перевантажуйте працівників...
CustomerReview/Don't think I will be back|Не думаю, що повернуся.
CustomerReview/Expensive, do they weight the packs?|Дорого. Вони що, зважують бустери перед продажем?
CustomerReview/Fair price to play here .|Цілком чесна плата за гру.
CustomerReview/Fast and reliable seller!|Швидко й надійно!
CustomerReview/Fine shop I guess|Нормальний магазин, як на мене.
CustomerReview/First time and the last time!|Перший і останній раз!
CustomerReview/For a TCG Card Shop, this place smells like roses!|Як для TCG-магазину, тут пахне просто трояндами!
CustomerReview/Genuinely recommend XXX!|Щиро рекомендую XXX!
CustomerReview/Good job keeping this place stink-free!|Молодці, що не даєте цьому місцю засмердітися!
CustomerReview/Good mix of card varieties.|Хороший вибір різних карток.
CustomerReview/Good price for the cards here!|Тут хороші ціни на картки!
CustomerReview/Good price for the products here!|Тут хороші ціни на товари!
CustomerReview/Good service, kind shop owner.|Хороше обслуговування й привітний власник.
CustomerReview/Good shop!|Хороший магазин!
CustomerReview/Good stuff, great service!|Хороші товари, чудове обслуговування!
CustomerReview/Good time playing here.|Гарно тут пограли.
CustomerReview/Good variety of things here at XXX.|У XXX хороший вибір товарів.
CustomerReview/How do they expect us to get into this place?|І як вони пропонують нам сюди потрапити?
CustomerReview/I bought some stuff I wanted, but can't find YYY|Купив дещо з потрібного, але YYY так і не знайшов.
CustomerReview/I come here to get staples all the time, wish there are rare cards.|Постійно заходжу сюди по базові картки. Шкода, що рідкісних майже немає.
CustomerReview/I didn't know what I needed until I came to this shop. Now I'm broke taking every last YYY off the shelves!|До цього магазину я навіть не знав, що мені потрібно. Тепер грошей немає — зате весь YYY із полиць мій!
CustomerReview/I don't like the smell.|Мені не подобається цей запах.
CustomerReview/I drove 50 miles to this shop to get YYY and they said they sold out? What a bummer!|Проїхав 50 миль заради YYY, а мені кажуть, що все розпродано. От невдача!
CustomerReview/I enjoy bargain hunting in this shop, I don't know how they keep the lights on with these prices!|Обожнюю полювати тут за вигідними пропозиціями. Не знаю, як вони взагалі виживають із такими цінами!
CustomerReview/I found some common cards here.|Знайшов тут кілька звичайних карток.
CustomerReview/I got my YYY here, worth the visit.|Знайшов тут YYY — не дарма заходив.
CustomerReview/I had to get out as soon as I got in XXX, unbearable smell|Щойно зайшов у XXX — одразу довелося виходити. Запах нестерпний.
CustomerReview/I have nice time playing, a little expensive though|Грати було приємно, хоча трохи дорогувато.
CustomerReview/I hope they have some discount soon for YYY.|Сподіваюся, на YYY скоро буде знижка.
CustomerReview/I like XXX, just wish they sell YYY|Мені подобається XXX. Якби вони ще продавали YYY...
CustomerReview/I love this store, no smell at all.|Обожнюю цей магазин — жодного неприємного запаху.
CustomerReview/I make my deck with the packs I bought from XXX. I won the tournament. Thanks|Зібрав колоду з бустерів, куплених у XXX, і виграв турнір. Дякую!
CustomerReview/I want YYY|Я хочу YYY
CustomerReview/I want to buy some cards but can't get into the store.|Хочу купити картки, але навіть не можу зайти в магазин.
CustomerReview/I want to buy some singles but it's kinda expensive|Хочу купити кілька окремих карток, але вони тут дорогуваті.
CustomerReview/I was psyched coz it's my son's birthday and I wanna get a YYY for him. Dale told me I can get YYY here but I guess he was lying. Now we are no longer friends.|У сина день народження, і я хотів купити йому YYY. Дейл сказав, що YYY є тут, але, схоже, збрехав. Усе, більше ми не друзі.
CustomerReview/If I knew the damn entrance is blocked off in this dump, I would have slept in.|Якби знав, що вхід у цю діру перекритий, краще б узагалі не вставав із ліжка.
CustomerReview/If i can rate 0 star i will.|Якби можна було поставити 0 зірок, я б так і зробив.
CustomerReview/If you're a TCG card collector, they have everything you can think of here.|Якщо колекціонуєте TCG-картки, тут знайдеться все, що тільки можна уявити.
CustomerReview/It smells.|Тут смердить.
CustomerReview/It stinks a bit.|Трохи смердить.
CustomerReview/It stinks in this shop.. I couldn't breath|У цьому магазині смердить... Дихати неможливо.
CustomerReview/It's a bad day to have nose|Сьогодні краще було б не мати носа.
CustomerReview/It's a small shop but it packs a punch.|Магазин маленький, але дає фору більшим.
CustomerReview/It's an ok shop, might visit again.|Нормальний магазин. Можливо, зайду ще.
CustomerReview/It's fine|Нормально.
CustomerReview/It's ok, I feel that the cards are a bit pricey.|Загалом нормально, але картки, як на мене, трохи дорогуваті.
CustomerReview/It's ok, I feel that they are a bit pricey.|Загалом нормально, але ціни, як на мене, трохи зависокі.
CustomerReview/It's ok, could be better|Нормально, але могло б бути краще.
CustomerReview/Look carefully before you pay! Don't get ripped off like me!|Уважно дивіться на ціну перед оплатою! Не дайте себе обдерти, як мене!
CustomerReview/Love the cards I boought at XXX.|Обожнюю картки, які купив у XXX.
CustomerReview/Love the prices here! Definitely getting what I need and not breaking the bank.|Обожнюю тутешні ціни! Куплю все потрібне й не залишуся без копійки.
CustomerReview/Man some of these customers' BO are nasty!|У деяких клієнтів просто жахливий запах поту!
CustomerReview/Many things at XXX!|У XXX стільки всього!
CustomerReview/Meh...|Таке собі...
CustomerReview/Nice time here, fee is a little high.|Тут приємно грати, тільки плата трохи зависока.
CustomerReview/No more visits for me. This dude infront of me was reaching his arm for something on the top shelf, and man I swear I could cry!|Більше сюди не прийду. Чувак переді мною потягнувся до верхньої полиці — клянуся, від запаху мало не заплакав!
CustomerReview/Not bad, good shop to buy YYY.|Непогано. Хороше місце, щоб купити YYY.
CustomerReview/Not bad, good shop to buy cards.|Непогано. Хороший магазин для купівлі карток.
CustomerReview/Not bad, quite clean!|Непогано, доволі чисто!
CustomerReview/OH do you ever restock your stuff? Where is YYY!?|Ви взагалі коли-небудь поповнюєте запаси? Де YYY?!
CustomerReview/Oh god, I can't play here with the smells.|О боже, з таким запахом тут неможливо грати.
CustomerReview/Oh they think they could pull one by setting crazy prices eh.. Nah, not for this smart customer. I'm buying YYY somewhere else|Думають, мене можна провести такими шаленими цінами? Ага, зараз. YYY куплю деінде.
CustomerReview/Ok is it just me or is it normal for the owner to be opening cardpacks all day?!|Це тільки мені дивно, що власник цілий день відкриває бустери?!
CustomerReview/Ok pricing|Нормальні ціни.
CustomerReview/Owner just ripping packs while I do my shopping|Поки я ходжу по магазину, власник просто сидить і відкриває бустери.
CustomerReview/Plenty of products here, I love it!|Тут величезний вибір товарів. Мені подобається!
CustomerReview/Really cheap, will come again!|Дуже дешево. Прийду ще!
CustomerReview/Really like XXX!|Дуже подобається XXX!
CustomerReview/Really pricey on some of the cards|Деякі картки тут справді задорогі.
CustomerReview/STINKS!!!|СМЕРДИТЬ!!!
CustomerReview/Saw some really rare cards|Бачив тут кілька справді рідкісних карток.
CustomerReview/Seems fine to me, had some fun time!|Як на мене, все добре. Гарно провів час!
CustomerReview/Staff is friendly and services are great!|Персонал привітний, а обслуговування чудове!
CustomerReview/Staff is friendly and willing to help customer!|Персонал привітний і завжди готовий допомогти!
CustomerReview/That guy must have ripped up cases of card packs by now..|Той хлопець уже, мабуть, відкрив цілі ящики бустерів...
CustomerReview/The card is really cheap!|Ця картка справді дешева!
CustomerReview/The collection here is awesome!|Тут чудова колекція!
CustomerReview/The entrance is blocked!?|Вхід заблокований?!
CustomerReview/The owner gave me a bunch of coins as change, why|Власник видав мені решту цілою купою монет. Навіщо?
CustomerReview/The owner gave me a lot of coins for some reason|Власник чомусь видав мені решту купою монет.
CustomerReview/The owner just keeps opening card pack at the corner...|Власник просто сидить у кутку й без кінця відкриває бустери...
CustomerReview/The place is neat and tidy.|Тут чисто й акуратно.
CustomerReview/The price for YYY was not that bad.. But not super great deals either.|Ціна на YYY була непоганою... Але й особливо вигідною її не назвеш.
CustomerReview/They are literally stealing my lunch money and trying to get away with that card pricing..|З такими цінами на картки вони буквально відбирають у мене гроші на обід...
CustomerReview/They don't sell card here...|Тут узагалі не продають картки...
CustomerReview/They have an awesome collection in XXX!|У XXX просто чудова колекція!
CustomerReview/They setup some stuff to block the entrance, I wonder why?|Вони чимось перегородили вхід. Цікаво, навіщо?
CustomerReview/Things are good, but it was so expensive.|Товари непогані, але все надто дороге.
CustomerReview/This place is nice to play at!|Тут приємно грати!
CustomerReview/This place may be new but that owner sure knows what scratches a good 'ol TCG itch!|Магазин новий, але власник точно знає, чим потішити фаната TCG!
CustomerReview/This shop does not sell YYY|У цьому магазині не продають YYY.
CustomerReview/This shop is definitely overcharging the customers for the YYY..|На YYY тут явно накручують ціну...
CustomerReview/This store is clean, thank you!!|У магазині чисто, дякую!!
CustomerReview/Those singles are so expensive I don't even know who buys them.|Окремі картки тут такі дорогі, що не уявляю, хто їх купує.
CustomerReview/Thought I saw someone weird opening packs at the shop corner, turns out it's the owner of XXX|Думав, у кутку магазину якийсь дивак відкриває бустери. Виявилося, це власник XXX.
CustomerReview/Thumbs up for those spray! At least no more stinks on the players when I sit down and play cards.|Респект за ці спреї! Принаймні тепер за столом не доводиться нюхати інших гравців.
CustomerReview/Ugh.. I feel mixed. On one hand I can find most stuff, on the other hand, YYY is quite pricey.|Двоякі враження. З одного боку, тут є майже все. З іншого — YYY коштує дорогувато.
CustomerReview/Unfair price for playing here.|Плата за гру тут зависока.
CustomerReview/Unfair price on YYY.|Ціна на YYY тут явно завищена.
CustomerReview/Unfair price on the singles...|Ціни на окремі картки тут несправедливі...
CustomerReview/Urgh.. That body odour is making my head spin!|Уф... Від цього запаху поту аж голова паморочиться!
CustomerReview/Used to love coming here, but I think I'll pass next time.|Раніше любив сюди заходити, але наступного разу, мабуть, пройду повз.
CustomerReview/VERY GOOD!|ДУЖЕ ДОБРЕ!
CustomerReview/Very cheap, will visit soon!|Дуже дешево. Скоро зайду ще!
CustomerReview/Well some of the customers smell weird, but I guess I could just stay away from them.|Деякі клієнти дивно пахнуть, але від них хоча б можна триматися подалі.
CustomerReview/What a rip off! They tryna sell YYY so much more expensive from that other shop I went last week. No deal.|Оце обдиралівка! YYY тут набагато дорожчий, ніж у магазині, де я був минулого тижня. Ні, дякую.
CustomerReview/What am I supposed to do with all these coins!?|І що мені робити з усіма цими монетами?!
CustomerReview/Where is YYY?|Де YYY?
CustomerReview/Why is the door blocked!?|Чому двері заблоковані?!
CustomerReview/Why no YYY?|Чому немає YYY?
CustomerReview/Will not visit anymore, too smelly...|Більше не прийду — надто смердить...
CustomerReview/Woah did the shop think money grows on trees? Those cards are expensive as hell!|Вони що, думають, гроші на деревах ростуть? Картки тут просто скажено дорогі!
CustomerReview/Word of caution: only bring cash to this shop else you might rack up debts buying too much stuff!|Порада: беріть сюди тільки готівку, а то ще влізете в борги, скуповуючи все підряд!
CustomerReview/Worst experience, there is nothing I want in the shop.|Жахливі враження. У магазині немає нічого, що мені потрібно.
CustomerReview/Wow I'd definitely come back here just for the YYY! Hope they keep the price tho.|Заради YYY я б точно повернувся! Сподіваюся, ціну не піднімуть.
CustomerReview/XXX does not sell YYY!!|У XXX не продають YYY!!
CustomerReview/XXX is clean, I love it!!|У XXX чисто, обожнюю це!!
CustomerReview/XXX is the best card shop, will visit again!|XXX — найкращий магазин карток. Обов’язково зайду ще!
CustomerReview/XXX tries to keep it clean, I respect that!|У XXX стараються підтримувати чистоту — поважаю!
CustomerReview/YYY here is way overpriced! Shop elsewhere...|Ціна на YYY тут страшенно завищена! Краще купуйте деінде...
CustomerReview/YYY is a little expensive.|Ціна на YYY трохи зависока.
CustomerReview/YYY is really cheap, thank you!|YYY тут продають дуже дешево, дякую!
Customers can play card game here, good way to earn extra income. Comes with 2 chairs.|Тут клієнти можуть грати в карткові ігри — хороший спосіб отримувати додатковий дохід. У комплекті 2 стільці.
Customers go here to pay for the items they want to buy, comes with cash register and credit card machine.|Тут клієнти оплачують покупки. У комплекті касовий апарат і платіжний термінал.
Customers played game in shop required|Потрібно, щоб клієнти зіграли в магазині
Customize|Налаштувати
D20 Dice Black|Чорний кубик D20
D20 Dice Blue|Синій кубик D20
D20 Dice Green|Зелений кубик D20
D20 Dice Red|Червоний кубик D20
D20 Dice White|Білий кубик D20
DECLINED!|ВІДХИЛЕНО!
Daily Report|Щоденний звіт
Daily Reward|Щоденна нагорода
Daily Shop|Щоденний магазин
Data Report|Звіт про дані
Day|День
Day XXX|День XXX
Days|Дні
Days Passed:|Пройшло днів:
Deal|Угода
Deal XXX unblockable TP damage|Завдайте XXX неблокованої шкоди TP
Deals double damage to shield for YYY turn|Завдає щиту подвійної шкоди протягом YYY ходу
Deals double damage to shield this turn|Цього ходу завдає щиту подвійної шкоди
Deals triple damage to shield this turn|Цього ходу завдає щиту потрійної шкоди
December|Грудень
Decimite|Децимайт
Decimite Figurine|Фігурка «Децимайт»
Decimite Statue|Статуя «Децимайт»
Deck Box Blue|Синя коробка для колоди
Deck Box Green|Зелена коробка для колоди
Deck Box Red|Червона коробка для колоди
Deck Box Yellow|Жовта коробка для колоди
Decline|Відхилити
Decoration|Декорація
Default|За замовчуванням
Default Setting|Налаштування за замовчуванням
Defeat|Поразка
Defeated|Переможений
Delete|Видалити
Delivery Fee|Плата за доставку
Destiny|Доля
Destiny Basic Pack Sales|Продаж базових бустерів «Доля»
Destiny Card|Картка «Доля»
Destiny Card Collector|Колекціонер карток «Доля»
Destiny Epic Pack Sales|Продаж епічних бустерів «Доля»
Destiny Legendary Pack Sales|Продаж легендарних бустерів «Доля»
Destiny Rare Pack Sales|Продаж рідкісних бустерів «Доля»
Destroy XXX card on opponent's field|Знищте XXX картку на полі суперника
Destroy XXX card on opponent's field, draw YYY|Знищте XXX картку на полі суперника, потім доберіть YYY
Destroy XXX opponent's field card with earth element YYY or less|Знищте XXX картку на полі суперника зі стихією Землі та значенням YYY або менше
Destroy XXX opponent's field card with fire element YYY or less|Знищте XXX картку на полі суперника зі стихією Вогню та значенням YYY або менше
Destroy XXX opponent's field card with water element YYY or less|Знищте XXX картку на полі суперника зі стихією Води та значенням YYY або менше
Destroy all opponent's field card with wind element XXX or higher|Знищте всі картки на полі суперника зі стихією Вітру та значенням XXX або більше
Detail|Деталь
Detective|Детектив
Developed by|Розробник:
Developed by Sia Ding Shen|Розроблено Сіа Дін Шенем
Disable Controller|Вимкнути контролер
Disable VSync|Вимкнути VSync
Disable opponent's wind element attack for XXX turn|Заблокуйте атаку суперника стихією Вітру на XXX хід
Discard XXX card, then destroy YYY card on opponent's field|Скиньте XXX картку, потім знищте YYY картку на полі суперника
Disconnected|З’єднання втрачено
Disconnected from friend match|З’єднання з матчем із другом втрачено
Display|Відображення
Display Bonus|Бонус вітрини
Display Stand|Демонстраційна підставка
Dissatisfied|Незадоволений
Don't Pay|Не платити
Done|Готово
Double Sided Shelf|Двостороння полиця
Dracunix|Дракунекс
Dracunix Figurine|Фігурка «Дракунекс»
Dracunix Statue|Статуя «Дракунекс»
Dracunix Statue Upgrade|Покращення статуї «Дракунекс»
Drain XXX of damage dealt this turn|Поглиніть XXX шкоди, завданої цього ходу
Drain XXX of damage dealt this turn, draw YYY|Поглиніть XXX шкоди, завданої цього ходу, потім доберіть YYY
Drakon|Дракон
Draw XXX card|Доберіть XXX картку
Draw XXX card, then discard YYY card|Доберіть XXX картку, потім скиньте YYY картку
Draw XXX card, then discard YYY card at random|Доберіть XXX картку, потім випадково скиньте YYY картку
Draw XXX cards|Доберіть XXX карток
Drilceros|Дрілцерос
Drilceros Action Figure|Екшн-фігурка «Дрілцерос»
Due In :|Термін через:
Duplicates|Дублі
Dusko|Дуско
EX Battle|EX Битва
Earnings|Доходи
Earth|Земля
Earth Battle Deck|Бойова колода Землі
Earth Cup|Кубок Землі
Earth Destiny Deck|Колода «Доля Землі»
Earth element deals XXX extra damage this turn|Стихія Землі завдає на XXX більше шкоди цього ходу
Earth element deals double damage this turn|Стихія Землі завдає подвійної шкоди цього ходу
Edit|Редагувати
Edit Card|Редагувати картку
Edit Price|Редагувати ціну
