Custom Language|Українська
CustomerReview/Amazing experience, got everything I wanted|Дивовижний досвід, отримав усе, що хотів
CustomerReview/Argh the singles are staring at me but I ain't got no money to buy them.|Аргх, ці одиночні картки на мене дивляться, але у мене немає грошей, щоб їх купити.
CustomerReview/BEST SHOP XXX|НАЙКРАЩИЙ МАГАЗИН XXX
CustomerReview/Bad experience|Поганий досвід
CustomerReview/Been looking for YYY in the last 3 shops but can't find 'em, thrilled to find it here!|Шукав YYY в останніх 3 магазинах, але не зміг знайти, і ось знайшов тут!
CustomerReview/Buying cards here feels like a scam|Купівля карток тут здається обманом
CustomerReview/Came here looking for Ghost foil. Sell it for $100 pls!!!|Прийшов сюди шукати Ghost foil. Продайте за $100, будь ласка!!!
CustomerReview/Can I lodge a complaint for those exorbitant card prices?|Чи можу я подати скаргу на ці шалені ціни на картки?
CustomerReview/Can't even get YYY for me? 1 star!|Не змогли навіть дістати YYY для мене? 1 зірка!
CustomerReview/Can't get in the store...|Не можу потрапити в магазин...
CustomerReview/Card price is EXPENSIVE!|Ціна на картки ДОРОГА!
CustomerReview/Card shop with ridiculous card pricing.|Магазин карток з неймовірно високими цінами на картки.
CustomerReview/Card shop with ridiculous fee.|Магазин карток з неймовірною комісією.
CustomerReview/Card shop with ridiculous product pricing.|Магазин карток з неймовірними цінами на продукцію.
CustomerReview/Comfortable, cozy. I love to play here.|Затишно, зручно. Мені подобається грати тут.
CustomerReview/Could've give me proper change, got a bag of coins instead...|Могли б дати нормальну здачу, а натомість отримав пакет монет...
CustomerReview/Did they ran out of money or something? I was handed a bunch of coins!|У них закінчилися гроші чи що? Мені дали купу монет!
CustomerReview/Did they think they are the ONLY shop in town that sells cards??? With that price I hope noone buys them!|Вони думають, що вони єдиний магазин у місті, який продає картки??? За такою ціною, сподіваюся, ніхто їх не купить!
CustomerReview/Do you sell YYY?|Чи продаєте ви YYY?
CustomerReview/Don't buy from XXX, way overpriced!|Не купуйте у XXX, дуже завищені ціни!
CustomerReview/Don't feel like coming back|Не думаю, що повернуся
CustomerReview/Don't overwork the staff please...|Будь ласка, не перенавантажуйте персонал...
CustomerReview/Don't think I will be back|Не думаю, що повернуся
CustomerReview/Expensive, do they weight the packs?|Дорого, чи вони зважують набори?
CustomerReview/Fair price to play here .|Справедлива ціна, щоб грати тут.
CustomerReview/Fast and reliable seller!|Швидкий і надійний продавець!
CustomerReview/Fine shop I guess|Непоганий магазин, як на мене
CustomerReview/First time and the last time!|Перший раз і останній раз!
CustomerReview/For a TCG Card Shop, this place smells like roses!|Для магазину TCG карток тут пахне, як у трояндовому саду!
CustomerReview/Genuinely recommend XXX!|Щиро рекомендую XXX!
CustomerReview/Good job keeping this place stink-free!|Гарна робота щодо збереження цього місця без запахів!
CustomerReview/Good mix of card varieties.|Добре поєднання різноманітних карток.
CustomerReview/Good price for the cards here!|Гарна ціна на картки тут!
CustomerReview/Good price for the products here!|Гарна ціна на товари тут!
CustomerReview/Good service, kind shop owner.|Гарне обслуговування, добрий власник магазину.
CustomerReview/Good shop!|Гарний магазин!
CustomerReview/Good stuff, great service!|Гарний товар, чудовий сервіс!
CustomerReview/Good time playing here.|Гарний час для гри тут.
CustomerReview/Good variety of things here at XXX.|Великий вибір товарів тут у XXX.
CustomerReview/How do they expect us to get into this place?|Як вони сподіваються, що ми потрапимо сюди?
CustomerReview/I bought some stuff I wanted, but can't find YYY|Я купив кілька речей, які хотів, але не можу знайти YYY
CustomerReview/I come here to get staples all the time, wish there are rare cards.|Я завжди приходжу сюди за необхідним, шкода, що тут немає рідкісних карток.
CustomerReview/I didn't know what I needed until I came to this shop. Now I'm broke taking every last YYY off the shelves!|Я не знав, що мені потрібно, доки не прийшов у цей магазин. Тепер я без грошей, купив усе YYY з полиць!
CustomerReview/I don't like the smell.|Мені не подобається запах.
CustomerReview/I drove 50 miles to this shop to get YYY and they said they sold out? What a bummer!|Я проїхав 50 миль до цього магазину, щоб отримати YYY, а вони сказали, що все продано? Яке розчарування!
CustomerReview/I enjoy bargain hunting in this shop, I don't know how they keep the lights on with these prices!|Мені подобається шукати вигідні пропозиції в цьому магазині, не знаю, як вони можуть працювати з такими цінами!
CustomerReview/I found some common cards here.|Я знайшов тут кілька звичайних карток.
CustomerReview/I got my YYY here, worth the visit.|Я отримав свій YYY тут, поїздка того варта.
CustomerReview/I had to get out as soon as I got in XXX, unbearable smell|Я мусив вийти, щойно зайшов у XXX, нестерпний запах
CustomerReview/I have nice time playing, a little expensive though|Мені сподобалося грати, хоча трохи дорого
CustomerReview/I hope they have some discount soon for YYY.|Сподіваюся, скоро буде знижка на YYY.
CustomerReview/I like XXX, just wish they sell YYY|Мені подобається XXX, тільки б вони ще продавали YYY
CustomerReview/I love this store, no smell at all.|Мені подобається цей магазин, жодного запаху.
CustomerReview/I make my deck with the packs I bought from XXX. I won the tournament. Thanks|Я зібрав свою колоду з наборів, куплених у XXX. Я виграв турнір. Дякую
CustomerReview/I want YYY|Я хочу YYY
CustomerReview/I want to buy some cards but can't get into the store.|Я хочу купити кілька карток, але не можу зайти в магазин.
CustomerReview/I want to buy some singles but it's kinda expensive|Я хочу купити кілька одиночних карток, але це трохи дорого
CustomerReview/I was psyched coz it's my son's birthday and I wanna get a YYY for him. Dale told me I can get YYY here but I guess he was lying. Now we are no longer friends.|Я був у захваті, бо це день народження мого сина, і я хотів купити YYY для нього. Дейл сказав мені, що я можу отримати YYY тут, але, думаю, він брехав. Тепер ми більше не друзі.
CustomerReview/If I knew the damn entrance is blocked off in this dump, I would have slept in.|Якби я знав, що вхід у цю діру заблокований, я б краще залишився спати вдома.
CustomerReview/If i can rate 0 star i will.|Якби я міг поставити 0 зірок, я б це зробив.
CustomerReview/If you're a TCG card collector, they have everything you can think of here.|Якщо ви колекціонер карток TCG, тут є все, що тільки можна уявити.
CustomerReview/It smells.|Пахне.
CustomerReview/It stinks a bit.|Трохи смердить.
CustomerReview/It stinks in this shop.. I couldn't breath|У цьому магазині смердить.. Я не міг дихати
CustomerReview/It's a bad day to have nose|Поганий день для того, щоб мати ніс
CustomerReview/It's a small shop but it packs a punch.|Це маленький магазин, але потужний.
CustomerReview/It's an ok shop, might visit again.|Нормальний магазин, можливо, завітаю ще.
CustomerReview/It's fine|Все нормально
CustomerReview/It's ok, I feel that the cards are a bit pricey.|Все нормально, але, на мій погляд, картки трохи дорогі.
CustomerReview/It's ok, I feel that they are a bit pricey.|Все нормально, але, на мій погляд, ціни трохи високі.
CustomerReview/It's ok, could be better|Все нормально, могло б бути краще
CustomerReview/Look carefully before you pay! Don't get ripped off like me!|Дивіться уважно, перш ніж платити! Не дайте себе обдурити, як я!
CustomerReview/Love the cards I boought at XXX.|Люблю картки, які я купив у XXX.
CustomerReview/Love the prices here! Definitely getting what I need and not breaking the bank.|Мені подобаються ціни тут! Точно отримаю те, що потрібно, і не розорюся.
CustomerReview/Man some of these customers' BO are nasty!|Деякі з цих клієнтів так смердять!
CustomerReview/Many things at XXX!|Багато всього у XXX!
CustomerReview/Meh...|Мда...
CustomerReview/Nice time here, fee is a little high.|Приємний час тут, хоча плата трохи завелика.
CustomerReview/No more visits for me. This dude infront of me was reaching his arm for something on the top shelf, and man I swear I could cry!|Більше я сюди не прийду. Чувак переді мною тягнувся за чимось на верхній полиці, і я клянуся, мені хотілося плакати!
CustomerReview/Not bad, good shop to buy YYY.|Непогано, гарний магазин для купівлі YYY.
CustomerReview/Not bad, good shop to buy cards.|Непогано, гарний магазин для купівлі карток.
CustomerReview/Not bad, quite clean!|Непогано, досить чисто!
CustomerReview/OH do you ever restock your stuff? Where is YYY!?|Ви взагалі поповнюєте свої запаси? Де YYY!?
CustomerReview/Oh god, I can't play here with the smells.|О боже, я не можу тут грати через запахи.
CustomerReview/Oh they think they could pull one by setting crazy prices eh.. Nah, not for this smart customer. I'm buying YYY somewhere else|О, вони думають, що зможуть провернути щось, виставивши шалені ціни, так? Ні, не для цього розумного клієнта. Я купую YYY десь в іншому місці
CustomerReview/Ok is it just me or is it normal for the owner to be opening cardpacks all day?!|Це тільки мені здається, чи це нормально, що власник весь день відкриває набори карток?!
CustomerReview/Ok pricing|Нормальні ціни
CustomerReview/Owner just ripping packs while I do my shopping|Власник просто розриває пакунки, поки я роблю покупки
CustomerReview/Plenty of products here, I love it!|Тут багато товарів, мені це подобається!
CustomerReview/Really cheap, will come again!|Дуже дешево, прийду ще!
CustomerReview/Really like XXX!|Дуже подобається XXX!
CustomerReview/Really pricey on some of the cards|Дуже дорогі деякі з карток
CustomerReview/STINKS!!!|СМЕРДИТЬ!!!
CustomerReview/Saw some really rare cards|Побачив кілька дуже рідкісних карток
CustomerReview/Seems fine to me, had some fun time!|Для мене все нормально, гарно провів час!
CustomerReview/Staff is friendly and services are great!|Персонал привітний, обслуговування чудове!
CustomerReview/Staff is friendly and willing to help customer!|Персонал привітний і готовий допомогти клієнту!
CustomerReview/That guy must have ripped up cases of card packs by now..|Той хлопець, мабуть, уже розірвав безліч пакунків з картками..
CustomerReview/The card is really cheap!|Картка дуже дешева!
CustomerReview/The collection here is awesome!|Колекція тут чудова!
CustomerReview/The entrance is blocked!?|Вхід заблокований!?
CustomerReview/The owner gave me a bunch of coins as change, why|Власник дав мені купу монет як здачу, чому
CustomerReview/The owner gave me a lot of coins for some reason|Власник чомусь дав мені багато монет
CustomerReview/The owner just keeps opening card pack at the corner...|Власник просто продовжує відкривати пакунки з картками в кутку...
CustomerReview/The place is neat and tidy.|Місце чисте та акуратне.
CustomerReview/The price for YYY was not that bad.. But not super great deals either.|Ціна на YYY була не такою вже й поганою.. Але не супер вигідною угодою.
CustomerReview/They are literally stealing my lunch money and trying to get away with that card pricing..|Вони буквально крадуть мої гроші на обід і намагаються втекти з такою ціною на картки..
CustomerReview/They don't sell card here...|Тут не продають картки...
CustomerReview/They have an awesome collection in XXX!|У XXX чудова колекція!
CustomerReview/They setup some stuff to block the entrance, I wonder why?|Вони поставили щось, щоб заблокувати вхід, цікаво, чому?
CustomerReview/Things are good, but it was so expensive.|Товари гарні, але було дуже дорого.
CustomerReview/This place is nice to play at!|Приємне місце для гри!
CustomerReview/This place may be new but that owner sure knows what scratches a good 'ol TCG itch!|Це місце може бути новим, але цей власник точно знає, як задовольнити колекціонера TCG!
CustomerReview/This shop does not sell YYY|Цей магазин не продає YYY
CustomerReview/This shop is definitely overcharging the customers for the YYY..|Цей магазин точно завищує ціни для клієнтів на YYY..
CustomerReview/This store is clean, thank you!!|Цей магазин чистий, дякую!!
CustomerReview/Those singles are so expensive I don't even know who buys them.|Ці одиночні картки такі дорогі, що я навіть не знаю, хто їх купує.
CustomerReview/Thought I saw someone weird opening packs at the shop corner, turns out it's the owner of XXX|Думав, що бачив когось дивного, хто відкривав пакунки в кутку магазину, виявилося, що це власник XXX
CustomerReview/Thumbs up for those spray! At least no more stinks on the players when I sit down and play cards.|Піднятий палець за ті спреї! Принаймні, більше немає смороду від гравців, коли я сідаю грати в картки.
CustomerReview/Ugh.. I feel mixed. On one hand I can find most stuff, on the other hand, YYY is quite pricey.|Ухх.. Я почуваюся змішано. З одного боку, я можу знайти більшість речей, з іншого - YYY досить дорогий.
CustomerReview/Unfair price for playing here.|Несправедлива ціна за гру тут.
CustomerReview/Unfair price on YYY.|Несправедлива ціна на YYY.
CustomerReview/Unfair price on the singles...|Несправедлива ціна на одиночні картки...
CustomerReview/Urgh.. That body odour is making my head spin!|Ургх.. Той запах тіла змушує мене крутити головою!
CustomerReview/Used to love coming here, but I think I'll pass next time.|Колись любив сюди приходити, але, мабуть, наступного разу пропущу.
CustomerReview/VERY GOOD!|ДУЖЕ ДОБРЕ!
CustomerReview/Very cheap, will visit soon!|Дуже дешево, незабаром завітаю!
CustomerReview/Well some of the customers smell weird, but I guess I could just stay away from them.|Деякі клієнти дивно пахнуть, але, думаю, я можу просто триматися подалі від них.
CustomerReview/What a rip off! They tryna sell YYY so much more expensive from that other shop I went last week. No deal.|Яка обдиралівка! Вони намагаються продати YYY набагато дорожче, ніж у тому іншому магазині, де я був минулого тижня. Не піду на це.
CustomerReview/What am I supposed to do with all these coins!?|Що я маю робити з усіма цими монетами!?
CustomerReview/Where is YYY?|Де YYY?
CustomerReview/Why is the door blocked!?|Чому двері заблоковані!?
CustomerReview/Why no YYY?|Чому немає YYY?
CustomerReview/Will not visit anymore, too smelly...|Більше не прийду, надто смердить...
CustomerReview/Woah did the shop think money grows on trees? Those cards are expensive as hell!|Вау, магазин думає, що гроші ростуть на деревах? Ці картки такі дорогі, що просто жах!
CustomerReview/Word of caution: only bring cash to this shop else you might rack up debts buying too much stuff!|Слово застереження: приносьте тільки готівку до цього магазину, інакше ви можете влізти в борги, купивши надто багато речей!
CustomerReview/Worst experience, there is nothing I want in the shop.|Найгірший досвід, у магазині немає нічого, що б я хотів.
CustomerReview/Wow I'd definitely come back here just for the YYY! Hope they keep the price tho.|Вау, я б точно повернувся сюди тільки заради YYY! Сподіваюся, вони залишать цю ціну.
CustomerReview/XXX does not sell YYY!!|XXX не продає YYY!!
CustomerReview/XXX is clean, I love it!!|XXX чистий, мені це подобається!!
CustomerReview/XXX is the best card shop, will visit again!|XXX найкращий магазин карток, завітаю ще!
CustomerReview/XXX tries to keep it clean, I respect that!|XXX намагається тримати все в чистоті, я це поважаю!
CustomerReview/YYY here is way overpriced! Shop elsewhere...|YYY тут значно переоцінений! Купуйте в іншому місці...
CustomerReview/YYY is a little expensive.|YYY трохи дорогий.
CustomerReview/YYY is really cheap, thank you!|YYY дійсно дешевий, дякую!
Customers can play card game here, good way to earn extra income. Comes with 2 chairs.|Тут клієнти можуть грати в карткову гру, хороший спосіб заробити додатковий дохід. В комплекті з 2 стільцями.
Customers go here to pay for the items they want to buy, comes with cash register and credit card machine.|Клієнти приходять сюди, щоб оплатити товари, які вони хочуть придбати. В комплекті касовий апарат і термінал для карток.
Customers played game in shop required|Потрібно, щоб клієнти грали в магазині
Customize|Налаштувати
D20 Dice Black|Кубик D20 Чорний
D20 Dice Blue|Кубик D20 Синій
D20 Dice Green|Кубик D20 Зелений
D20 Dice Red|Кубик D20 Червоний
D20 Dice White|Кубик D20 Білий
DECLINED!|ВІДХИЛЕНО!
Daily Report|Щоденний звіт
Daily Reward|Щоденна нагорода
Daily Shop|Щоденний магазин
Data Report|Звіт про дані
Day|День
Day XXX|День XXX
Days|Дні
Days Passed:|Пройшло днів:
Deal|Угода
Deal XXX unblockable TP damage|Завдайте XXX незаблокованої TP шкоди
Deals double damage to shield for YYY turn|Завдає подвійну шкоду щиту на YYY хід
Deals double damage to shield this turn|Завдає подвійну шкоду щиту цього ходу
Deals triple damage to shield this turn|Завдає потрійну шкоду щиту цього ходу
December|Грудень
Decimite|Децимайт
Decimite Figurine|Фігурка Децимайта
Decimite Statue|Статуя Децимайта
Deck Box Blue|Коробка для колоди Синя
Deck Box Green|Коробка для колоди Зелена
Deck Box Red|Коробка для колоди Червона
Deck Box Yellow|Коробка для колоди Жовта
Decline|Відхилити
Decoration|Декорація
Default|За замовчуванням
Default Setting|Налаштування за замовчуванням
Defeat|Поразка
Defeated|Переможений
Delete|Видалити
Delivery Fee|Плата за доставку
Destiny|Доля
Destiny Basic Pack Sales|Продаж базового набору Долі
Destiny Card|Картка Долі
Destiny Card Collector|Колекціонер карток Долі
Destiny Epic Pack Sales|Продаж епічного набору Долі
Destiny Legendary Pack Sales|Продаж легендарного набору Долі
Destiny Rare Pack Sales|Продаж рідкісного набору Долі
Destroy XXX card on opponent's field|Знищте XXX картку на полі суперника
Destroy XXX card on opponent's field, draw YYY|Знищте XXX картку на полі суперника, візьміть YYY
Destroy XXX opponent's field card with earth element YYY or less|Знищте XXX картку на полі суперника зі стихією землі YYY або менше
Destroy XXX opponent's field card with fire element YYY or less|Знищте XXX картку на полі суперника зі стихією вогню YYY або менше
Destroy XXX opponent's field card with water element YYY or less|Знищте XXX картку на полі суперника зі стихією води YYY або менше
Destroy all opponent's field card with wind element XXX or higher|Знищте всі картки на полі суперника зі стихією вітру XXX або більше
Detail|Деталь
Detective|Детектив
Developed by|Розроблено :
Developed by Sia Ding Shen|Розроблено Сіа Дін Шенем
Disable Controller|Вимкнути контролер
Disable VSync|Вимкнути VSync
Disable opponent's wind element attack for XXX turn|Вимкніть атаку суперника зі стихією вітру на XXX хід
Discard XXX card, then destroy YYY card on opponent's field|Скиньте XXX картку, потім знищте YYY картку на полі суперника
Disconnected|Відключено
Disconnected from friend match|Відключено від матчу з другом
Display|Екран
Display Bonus|Бонус відображення
Display Stand|Стенд для демонстрації
Dissatisfied|Незадоволений
Don't Pay|Не платити
Done|Готово
Double Sided Shelf|Двостороння полиця
Dracunix|Дракунекс
Dracunix Figurine|Фігурка Дракунекса
Dracunix Statue|Статуя Дракунекса
Dracunix Statue Upgrade|Оновлення статуї Дракунекса
Drain XXX of damage dealt this turn|Поглинайте XXX завданої шкоди цього ходу
Drain XXX of damage dealt this turn, draw YYY|Поглинайте XXX завданої шкоди цього ходу, візьміть YYY
Drakon|Дракон
Draw XXX card|Візьміть XXX картку
Draw XXX card, then discard YYY card|Візьміть XXX картку, потім скиньте YYY картку
Draw XXX card, then discard YYY card at random|Візьміть XXX картку, потім випадково скиньте YYY картку
Draw XXX cards|Візьміть XXX карток
Drilceros|Дрілцерос
Drilceros Action Figure|Фігурка Дрілцероса
Due In :|Очікується через :
Duplicates|Дублі
Dusko|Дуско
EX Battle|EX Битва
Earnings|Заробіток
Earth|Земля
Earth Battle Deck|Бойова колода Землі
Earth Cup|Кубок Землі
Earth Destiny Deck|Колода Долі Землі
Earth element deals XXX extra damage this turn|Стихія Землі завдає XXX додаткового ушкодження цього ходу
Earth element deals double damage this turn|Стихія Землі завдає подвійну шкоду цього ходу
Edit|Редагувати
Edit Card|Редагувати картку
Edit Price|Редагувати ціну
Electric|Електрика
