Secondary Task	Додаткове завдання
Secondary Task:	Додаткове завдання:
Select Cards	Виберіть картки
Select Evolution card	Виберіть картку еволюції
Select Service	Виберіть сервіс
Select XXX card	Виберіть XXX картку
Select XXX cards	Виберіть XXX карток
Select up to XXX card	Виберіть до XXX картки
Select up to XXX card to discard.	Виберіть до XXX картки для скидання.
Select up to XXX cards	Виберіть до XXX карток
Select up to XXX cards to discard.	Виберіть до XXX карток для скидання.
Select your target	Виберіть ціль
Shop B	Магазин B
Shop Customization	Налаштування магазину
Slot Available	Вільний слот
Statue	Статуя
Stock Scanner	Сканер запасів
Submission	Заявка
Submit	Надіслати
The Plushies Are Real!?	Плюшеві іграшки справжні!?
The Real Authentication	Справжня автентифікація
The game has already started	Гра вже почалася
There's no one to play with	Немає з ким грати
This machine only accept card packs	Ця машина приймає лише набори карток
Too many boxes, clear some for new boxes to appear	Забагато коробок. Приберіть частину, щоб могли з’явитися нові
Toploader	Топлоадер
Tower Deckbox	Баштовий декбокс
Ungraded	Без оцінки
Update Price By	Змінити ціну на
Wait for all card packs to be processed	Зачекайте, поки всі набори карток буде оброблено
Wall	Стіна
Wall Display Case	Настінна вітрина
Wall YYY	Стіна YYY
What is the task priority?	Який пріоритет завдання?
XXX Day	XXX день
XXX Days	XXX днів
XXX Set YYY	XXX Набір YYY
XXX Statue	Статуя XXX
YOU WIN	ВИ ПЕРЕМОГЛИ
Your Offer	Ваша пропозиція
Card Storage Shelf	Полиця для зберігання карток
Put up to 10000 cards for workers to take and display them for sale.	Покладіть до 10000 карток, щоб працівники могли брати їх і виставляти на продаж.
Restock Card	Поповнити картки
Card Storage Shelf required to restock card	Для поповнення карток потрібна полиця для зберігання карток
Worker Can Sell	Працівник може продавати
Put items on shelf to sell them to your customers. Store up to 4 types of item. Each compartment has volume of 144.	Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 4 типів предметів. Кожний відсік має об’єм 144.
Corner Shelf	Кутова полиця
Put items on shelf to sell them to your customers. Store up to 8 types of item. Each compartment has volume of 96 or 144.	Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 8 типів предметів. Кожний відсік має об’єм 96 або 144.
Box Shelf	Полиця для коробок
Tetramon Shelf	Полиця Tetramon
Put items on shelf to sell them to your customers. Store up to 24 types of item. Each compartment has volume of 20.	Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 24 типів предметів. Кожний відсік має об’єм 20.
Primary Task:	Основне завдання:
Bonus	Бонус
Give Bonus	Дати премію
Wow thank you! I wasn't expecting this at all.	Ого, дякую! Я взагалі цього не очікував!
Nice! I'll try not to spend it all on card packs this time.	Клас! Цього разу постараюся не спустити все на набори карток.
Most generous, boss. I'll consider this a tribute to my impeccable work.	Щедро, босе. Вважатиму це даниною моїй бездоганній роботі.
Finally, someone noticed my brilliance! Thank you boss!	Нарешті хтось помітив мою геніальність! Дякую, босе!
YES, I can eat like a king today. Thanks boss!	ТАК! Сьогодні поїм як король. Дякую, босе!
Bonus received! Morale +10!	Премію отримано! Мораль +10!
Thanks boss! Time to level up my lifestyle.	Дякую, босе! Час прокачати рівень життя.
Ideals are admirable. Profit is practical.	Ідеали гідні поваги. Прибуток — практичніший.
Sweet! That'll cover my rent for the month!	Супер! Цього вистачить на оренду за місяць!
Can only store empty box	Можна зберігати лише порожні коробки
Cannot store package box with this size	Не можна зберігати пакувальну коробку такого розміру
Empty Box Storage	Сховище порожніх коробок
Store or take empty packaging box here. Holds up to 200 empty packaging boxes.	Тут можна зберігати або забирати порожні пакувальні коробки. Вміщує до 200 коробок.
Quick Fill	Швидке заповнення
Table Number	Номер столу
Set table number for the tournament players	Встановіть номер столу для учасників турніру
Auto	Авто
Hmm, where is table XXX?	Хм, де стіл XXX?
Where is table XXX!?	Де стіл XXX?!
I can't find table number XXX.	Не можу знайти стіл номер XXX.
Anyone know where is table XXX?	Хтось знає, де стіл XXX?
Tournament started but where is table XXX? Help!!	Турнір уже почався, але де стіл XXX? Допоможіть!!
There's no table for me to play.	Для мене немає столу для гри.
Table layout here is confusing.	Тут дуже незрозуміле розташування столів.
Cannot remove table number during tournament	Не можна прибрати номер столу під час турніру
Remove table number first	Спочатку приберіть номер столу
Store the tournament's prize here. Store up to 8 cards and 8 types of item. Each compartment has volume of 32.	Зберігайте тут призи турніру. Вміщує до 8 карток і 8 типів предметів. Кожний відсік має об’єм 32.
Participants :	Учасники:
Entry Fee :	Вступний внесок:
Start Registration	Почати реєстрацію
Tournament Hosting	Проведення турніру
Setup	Налаштування
Top 8	Топ-8
3rd	3rd
1st	1st
Prizes Worth	Вартість призів
REGISTER NOW	ЗАРЕЄСТРУВАТИСЯ
XXX Players	XXX гравців
Tournament	Турнір
Tournament will start the next day once it's full	Коли всі місця буде зайнято, турнір почнеться наступного дня
Prize Setup	Налаштування призів
Not enough item in inventory	Недостатньо предметів в інвентарі
Need 5 of the same item	Потрібно 5 однакових предметів
Registered	Зареєстровано
Full	Місць немає
Tournament Prize Shelf	Полиця з призами турніру
Where's my prize?	Де мій приз?
I can't find my prize anywhere.	Я ніде не можу знайти свій приз.
There's no prize on the shelf?	На полиці немає призу?
I won't leave until I get my prizes!	Я не піду, доки не отримаю свої призи!
Where's the Tournament Prize Shelf?	Де полиця з призами турніру?
I can't the Tournament Prize Shelf.	Я не можу знайти полицю з призами турніру.
I can't find the Tournament Prize Shelf.	Я не можу знайти полицю з призами турніру.
There's no prize for winning?	За перемогу немає призу?
Sad, you get nothing for winning.	Сумно. За перемогу нічого не дають.
What am I playing for? There's no reward.	Заради чого я взагалі граю? Нагороди немає.
Not even a card pack as reward?	Навіть набору карток як нагороди немає?
You get NOTHING!!	Не отримаєш НІЧОГО!!
Lose	Поразка
Draw	Нічия
Round XXX	Раунд XXX
Match Win	Перемога в матчі
Game Points	Ігрові очки
OMW	OMW
OOMW	OOMW
XXXth	XXX-те
Press to start next day	Натисніть, щоб почати наступний день
Tournament Prize Shelf required	Потрібна полиця з призами турніру
Need to setup prizes first	Спочатку потрібно налаштувати призи
Camera	Камера
Zoom In	Наблизити
Zoom Out	Віддалити
Roll Left	Нахилити ліворуч
Roll Right	Нахилити праворуч
Grid	Сітка
Take Photo	Зробити фото
Photo Gallery	Фотогалерея
Gallery	Галерея
No Photo	Немає фото
Shop Level Up	Підвищення рівня магазину
Shop Leveled Up	Рівень магазину підвищено
New Room Available	Доступне нове приміщення
New Worker Available	Доступний новий працівник
New Shop Expansion Available	Доступне нове розширення магазину
Limited Time Plushies!	Плюшеві іграшки — лише обмежений час!
