1st Attack	1st атака
CustomerTrade/I'm looking for this card, wanna trade?	Шукаю цю картку. Обміняємося?
CustomerTrade/It's a bit too low. How about this?	Трохи замало. А як щодо такої суми?
CustomerTrade/Looking to sell this, can you give me a good price?	Хочу це продати. Запропонуєте хорошу ціну?
CustomerTrade/No way I'm gonna sell at that price.	За таку ціну я точно не продам.
CustomerTrade/Right on!	Домовилися!
CustomerTrade/Thank you!!	Дякую!!
CustomerTrade/Thanks!	Дякую!
CustomerTrade/That's way too low!	Це надто мало!
CustomerTrade/This is my final offer.	Це моя остаточна пропозиція.
CustomerTrade/Wanna sell this. What's the best I can get?	Хочу це продати. Яку найкращу ціну запропонуєте?
CustomerTrade/You got yourself a deal!	По руках!
E-Card Display	Електронний дисплей карток
Graded	Оцінена картка
Hobby DECO	Декор для хобі
Não tenho muita experiência mas estou disposto a aprender e fazer qualquer coisa. Por favor me contrate pois preciso de dinheiro para pagar a escola de arte.	У мене небагато досвіду, але я готовий вчитися й виконувати будь-яку роботу. Будь ласка, найміть мене — мені потрібні гроші, щоб оплатити навчання в художній школі.
Pack Machine L	Машина для відкривання наборів L
Pack Machine M	Машина для відкривання наборів M
Pack Machine S	Машина для відкривання наборів S
Ravager	Спустошувач
The card has high value. Are you sure about throwing it away?	Картка має високу вартість. Ви впевнені, що хочете її викинути?
CustomerReview/I love card shops, but this one? Practically a cave. It's uncomfortable to shop when you can't see what you're buying	Я люблю магазини карток, але цей? Майже печера. Незручно купувати, коли не бачиш, що саме береш.
CustomerReview/This place is ridiculously dark. I'm here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.	Тут абсурдно темно. Я прийшов купувати картки, а не перевіряти, чи зможу пройти печеру. Увімкніть світло або роздавайте ліхтарики на вході.
CustomerReview/I can't believe a store expects customers to shop in near darkness. It's impossible to see the cards, the shelves, or anything else. Completely unacceptable.	Не можу повірити, що магазин очікує, ніби клієнти купуватимуть майже в темряві. Не видно ні карток, ні полиць, взагалі нічого. Абсолютно неприйнятно.
CustomerReview/I need a night vision goggles to play in this shop lol	Щоб грати в цьому магазині, мені потрібні окуляри нічного бачення, лол.
CustomerReview/The tournament was very poorly organized. For an event with an entry fee, I expected much better planning.	Турнір організували дуже погано. Від події з платним входом я очікував значно кращої організації.
CustomerReview/Very frustrating tournament experience.	Дуже неприємний досвід участі в турнірі.
CustomerReview/Not a great environment for a competitive TCG event.	Не найкращі умови для змагального TCG-турніру.
CustomerReview/I am disappointed with the tournament and felt misled.	Я розчарований турніром і почуваюся обманутим.
CustomerReview/I was really excited for this tournament, but it ended up being a letdown.	Я дуже чекав на цей турнір, але зрештою він мене розчарував.
CustomerReview/Poor tournament organization, long waits, not worth the time or money.	Погана організація, довге очікування — не варте ні часу, ні грошей.
CustomerReview/This was one of the worst TCG tournaments I've ever attended. Total chaos from start to finish.	Це був один із найгірших TCG-турнірів, на яких я бував. Суцільний хаос від початку до кінця.
CustomerReview/The prizes were NOT what was advertised!	Призи були ЗОВСІМ не такими, як обіцяли!
CustomerReview/What an embarrassing tournament. Poor planning, poor execution. I will not be coming back.	Який соромний турнір. Погано сплановано, погано проведено. Більше не прийду.
CustomerReview/This tournament was a complete dumpster fire.	Цей турнір був суцільною катастрофою.
CustomerReview/Entry fee taken, promises made, and none of them kept. The prizes were a joke compared to what was advertised.	Вступний внесок взяли, наобіцяли купу всього — і нічого не виконали. Порівняно з рекламою призи були просто смішні.
CustomerReview/Once the tournament started, it was chaos. Organizers clearly didn't know what they were doing.	Щойно турнір почався, настав хаос. Організатори явно не знали, що роблять.
Canceling will reset the registered players. Are you sure about canceling the tournament?	Скасування скине зареєстрованих гравців. Ви впевнені, що хочете скасувати турнір?
New License Available	Доступна нова ліцензія
New Furniture Available	Доступні нові меблі
